api_type,frontend_type,backend_tag,frontend_tag,submenu
african_restaurant,Africain,regional_gastronomy,Cuisines du monde,Afrique
german_restaurant,Allemand,regional_gastronomy,Cuisines du monde,Europe
american_restaurant,Américain,regional_gastronomy,Cuisines du monde,Amérique du Nord
tex_mex_restaurant,Tex-Mex,regional_gastronomy,Cuisines du monde,Amérique du Nord
argentinian_restaurant,Argentin,regional_gastronomy,Cuisines du monde,Amérique du Sud
brazilian_restaurant,Brésilien,regional_gastronomy,Cuisines du monde,Amérique du Sud
british_restaurant,Britannique,regional_gastronomy,Cuisines du monde,Europe
cajun_restaurant,Cajun,regional_gastronomy,Cuisines du monde,Amérique du Nord
californian_restaurant,Californien,regional_gastronomy,Cuisines du monde,Amérique du Nord
caribbean_restaurant,Caribéen,regional_gastronomy,Cuisines du monde,Amérique du Sud
chilean_restaurant,Chilien,regional_gastronomy,Cuisines du monde,Amérique du Sud
colombian_restaurant,Colombien,regional_gastronomy,Cuisines du monde,Amérique du Sud
cuban_restaurant,Cubain,regional_gastronomy,Cuisines du monde,Amérique du Sud
danish_restaurant,Danois,regional_gastronomy,Cuisines du monde,Europe
dutch_restaurant,Néerlandais,regional_gastronomy,Cuisines du monde,Europe
eastern_european_restaurant,Est-Européen,regional_gastronomy,Cuisines du monde,Europe
ethiopian_restaurant,Éthiopien,regional_gastronomy,Cuisines du monde,Afrique
european_restaurant,Européen,regional_gastronomy,Cuisines du monde,Europe
filipino_restaurant,Philippin,regional_gastronomy,Cuisines du monde,Asie
french_restaurant,Français,regional_gastronomy,Cuisines du monde,Europe
greek_restaurant,Grec,regional_gastronomy,Cuisines du monde,Europe
hawaiian_restaurant,Hawaïen,regional_gastronomy,Cuisines du monde,Océanie
japanese_restaurant,Japonais,regional_gastronomy,Cuisines du monde,Asie
korean_restaurant,Coréen,regional_gastronomy,Cuisines du monde,Asie
latin_american_restaurant,Latino-Américain,regional_gastronomy,Cuisines du monde,Amérique du Sud
mediterranean_restaurant,Méditerranéen,regional_gastronomy,Cuisines du monde,Europe
mexican_restaurant,Mexicain,regional_gastronomy,Cuisines du monde,Amérique du Sud
middle_eastern_restaurant,Moyen-Oriental,regional_gastronomy,Cuisines du monde,Moyen-Orient
moroccan_restaurant,Marocain,regional_gastronomy,Cuisines du monde,Afrique
peruvian_restaurant,Péruvien,regional_gastronomy,Cuisines du monde,Amérique du Sud
scandinavian_restaurant,Scandinave,regional_gastronomy,Cuisines du monde,Europe
spanish_restaurant,Espagnol,regional_gastronomy,Cuisines du monde,Europe
western_restaurant,Occidental,regional_gastronomy,Cuisines du monde,Autres
afghani_restaurant,Afghan,regional_gastronomy,Cuisines du monde,Asie
asian_fusion_restaurant,Fusion Asiatique,regional_gastronomy,Cuisines du monde,Asie
asian_restaurant,Asiatique,regional_gastronomy,Cuisines du monde,Asie
bangladeshi_restaurant,Bangladais,regional_gastronomy,Cuisines du monde,Asie
cambodian_restaurant,Cambodgien,regional_gastronomy,Cuisines du monde,Asie
cantonese_restaurant,Cantonais,regional_gastronomy,Cuisines du monde,Asie
chinese_restaurant,Chinois,regional_gastronomy,Cuisines du monde,Asie
czech_restaurant,Tchèque,regional_gastronomy,Cuisines du monde,Europe
indian_restaurant,Indien,regional_gastronomy,Cuisines du monde,Asie
indonesian_restaurant,Indonésien,regional_gastronomy,Cuisines du monde,Asie
malaysian_restaurant,Malaisien,regional_gastronomy,Cuisines du monde,Asie
north_indian_restaurant,Indien,regional_gastronomy,Cuisines du monde,Asie
pakistani_restaurant,Pakistanais,regional_gastronomy,Cuisines du monde,Asie
south_american_restaurant,Sud-Américain,regional_gastronomy,Cuisines du monde,Amérique du Sud
south_indian_restaurant,Indien,regional_gastronomy,Cuisines du monde,Asie
southwestern_us_restaurant,Sud-Ouest Américain,regional_gastronomy,Cuisines du monde,Amérique du Nord
sri_lankan_restaurant,Sri-Lankais,regional_gastronomy,Cuisines du monde,Asie
taiwanese_restaurant,Taïwanais,regional_gastronomy,Cuisines du monde,Asie
thai_restaurant,Thaïlandais,regional_gastronomy,Cuisines du monde,Asie
tibetan_restaurant,Tibétain,regional_gastronomy,Cuisines du monde,Asie
vietnamese_restaurant,Vietnamien,regional_gastronomy,Cuisines du monde,Asie
austrian_restaurant,Autrichien,regional_gastronomy,Cuisines du monde,Europe
basque_restaurant,Basque,regional_gastronomy,Cuisines du monde,Europe
bavarian_restaurant,Bavarois,regional_gastronomy,Cuisines du monde,Europe
belgian_restaurant,Belge,regional_gastronomy,Cuisines du monde,Europe
burmese_restaurant,Birman,regional_gastronomy,Cuisines du monde,Asie
croatian_restaurant,Croate,regional_gastronomy,Cuisines du monde,Europe
hungarian_restaurant,Hongrois,regional_gastronomy,Cuisines du monde,Europe
irish_restaurant,Irlandais,regional_gastronomy,Cuisines du monde,Europe
italian_restaurant,Italien,regional_gastronomy,Cuisines du monde,Europe
polish_restaurant,Polonais,regional_gastronomy,Cuisines du monde,Europe
portuguese_restaurant,Portugais,regional_gastronomy,Cuisines du monde,Europe
romanian_restaurant,Roumain,regional_gastronomy,Cuisines du monde,Europe
russian_restaurant,Russe,regional_gastronomy,Cuisines du monde,Europe
swiss_restaurant,Suisse,regional_gastronomy,Cuisines du monde,Europe
ukrainian_restaurant,Ukrainien,regional_gastronomy,Cuisines du monde,Europe
bar,Bar,excluded,excluded,excluded
bar_and_grill,Bar-Grill,excluded,excluded,excluded
beer_garden,Brasserie,excluded,excluded,excluded
brewery,Brasserie,excluded,excluded,excluded
brewpub,Brasserie-Pub,excluded,excluded,excluded
cocktail_bar,Bar à Cocktails,excluded,excluded,excluded
gastropub,Gastropub,excluded,excluded,excluded
hookah_bar,Bar à Chicha,excluded,excluded,excluded
irish_pub,Pub Irlandais,excluded,excluded,excluded
japanese_izakaya_restaurant,Izakaya Japonais,excluded,excluded,excluded
lounge_bar,Bar Lounge,excluded,excluded,excluded
pub,Pub,excluded,excluded,excluded
sports_bar,Bar Sportif,excluded,excluded,excluded
wine_bar,Bar à Vin,excluded,excluded,excluded
winery,Domaine Viticole,excluded,excluded,excluded
cat_cafe,Cat Café,excluded,excluded,excluded
dog_cafe,Dog Café,excluded,excluded,excluded
cafe,Café,excluded,excluded,excluded
coffee_roastery,Café,excluded,excluded,excluded
coffee_shop,Café,excluded,excluded,excluded
coffee_stand,Café,excluded,excluded,excluded
tea_house,Salon de Thé,excluded,excluded,excluded
korean_barbecue_restaurant,Barbecue Coréen,single_dish_specialist,Spécialité,Grillades et viandes
